Date,BTC_Price,ETH_Price,LTC_Price,BTC_Price_Change,ETH_Price_Change,LTC_Price_Change,BTC_Price_Volatility,ETH_Price_Volatility,LTC_Price_Volatility,BTC_Volume,ETH_Volume,LTC_Volume,BTC_Sharpe,ETH_Sharpe,LTC_Sharpe,229_BTC,229_ETH,229_LTC
21-Mar-17,1120.54,43.15,4.01,66.31,-0.24,-0.02,67.07,1.89,0.06,337391000,91265400,4970080,0.189686729,0.165280985,0.549996592,0,0,0
20-Mar-17,1054.23,43.39,4.03,17.49,-1.35,0.07,26.35,3.79,0.16,286530000,154701000,4068240,0.542235664,-0.078606168,0.275440824,1,-1,-1
19-Mar-17,1036.74,44.74,3.96,62.92,10.58,-0.01,93.18,11.66,0.13,406648000,239430000,6013050,0.579701246,-0.261051765,0.207961611,1,-1,1
18-Mar-17,973.82,34.16,3.97,-126.41,-12.67,-0.09,156.42,15.17,0.3,621302000,262180000,12199700,0.942204566,-0.063340342,0.380335347,1,1,-1
17-Mar-17,1100.23,46.83,4.06,-87.58,0.48,-0.18,80.59,16.9,0.19,706599000,497534000,11109600,0.588356912,-1.254040874,-0.233669374,-1,-1,-1
16-Mar-17,1187.81,46.35,4.24,-61.8,11.29,0.08,105.54,11.81,0.28,638568000,454418000,12755200,-0.055006297,-1.6256288,-0.617740169,-1,1,-1
15-Mar-17,1249.61,35.06,4.16,9.61,6.41,0.1,11.86,6.63,0.18,297805000,170344000,6571900,-1.211585503,-1.630832701,-0.581706329,-1,1,1
14-Mar-17,1240,28.65,4.06,8.08,0.06,-0.11,24.09,2.61,0.16,245306000,101797000,7928910,-0.193422161,-1.580451612,-0.269783286,1,1,1
13-Mar-17,1231.92,28.59,4.17,10.54,5.15,0.33,20.34,7.1,0.42,380277000,255488000,22439100,-0.314475044,-2.47015942,-0.564547364,1,1,-1
12-Mar-17,1221.38,23.44,3.84,45.55,1.97,0.04,51.62,2.06,0.08,227176000,74628900,3373750,0.032208452,-0.441496423,-0.059377939,1,1,1
11-Mar-17,1175.83,21.47,3.8,59.11,2.14,0.05,77.51,2.58,0.09,283320000,69150100,3463740,0.351268657,-0.160164308,0.359086137,1,1,1
10-Mar-17,1116.72,19.33,3.75,-71.77,1.58,-0.09,193.22,1.98,0.15,563796000,87506800,7090150,0.682176917,0.033743332,0.492229515,1,1,1
9-Mar-17,1188.49,17.75,3.84,38.49,1.1,0.06,56.23,1.5,0.08,212283000,31418400,3092100,0.328942391,0.17153984,0.149090201,-1,1,-1
8-Mar-17,1150,16.65,3.78,-73.54,-2.24,-0.04,84.08,2.23,0.07,332603000,44304600,4594400,0.767794057,0.563306038,0.629725323,1,1,1
7-Mar-17,1223.54,18.89,3.82,-49.29,-0.72,-0.1,70.75,0.99,0.11,291256000,37972200,5619560,0.221300265,0.061140554,0.441931214,-1,-1,-1
6-Mar-17,1272.83,19.61,3.92,5.71,0.31,0.02,11.4,0.99,0.07,153657000,32432700,4393810,-0.586730804,-0.545168574,-0.452837458,-1,-1,-1
